Position X [mm],Radius Y [mm],Mach Number,T_Gas_Recovery [K],h_Gas [W/m2K],Channel Width [mm],Channel Height [mm],T_Wall_Hot [K],T_Wall_Cold [K],T_Coolant [K],P_Coolant [bar],Heat Flux [MW/m2],Coolant Velocity [m/s],Coolant Density [kg/m3],Coolant Quality
14.95921981648402,19.43565826996546,1.9990762109233389,2979.232978934267,4883.6688250809675,1.5975339496631618,0.75,775.0469118379891,416.2297524861252,299.4897267540673,59.43308545674688,10.764514780555917,16.305212748496203,734.5510971663865,-0.023719985223514154
15.45381116880824,19.622270812043485,2.015643814881407,2978.213320996973,4792.568385017205,1.6181044967249172,0.75,769.836740838856,417.0435481629159,299.29527702252307,59.451102339661674,10.583795780278203,16.037244120024994,737.3306253716111,-0.02997593857546369
15.946625655577245,19.80753232111311,2.031781185140348,2977.2197259139375,4704.666312610235,1.6385261176332009,0.75,764.7610926537495,417.7984393223199,299.0991389293756,59.4684432936793,10.408879599942889,15.77897993451952,740.058899596772,-0.03616104466691159
16.437663276791035,19.991442797174344,2.0475085678997296,2976.25107023428,4619.812893027278,1.658798812388014,0.75,759.8151334312702,418.49782285088554,298.9014681816909,59.48514586129794,10.239519317411538,15.529927119502956,742.7376588803318,-0.042276803529828134
16.9269240324496,20.174002240227175,2.062844618777892,2975.3063110351377,4537.86738943273,1.6789225809893553,0.75,754.9942551659065,419.14486607612884,298.70241059885825,59.50124489832166,10.075481672693327,15.289625239536102,745.3685545566356,-0.04832466247342041
17.41440792255296,20.355210650271612,2.0778065760392,2974.384477642207,4458.697380598955,1.698897423437225,0.75,750.2940634188667,419.742526615105,298.5021027882492,59.5167728068713,9.91654610411285,15.057643860570186,747.9531559678943,-0.054306018920268866
17.900114947101105,20.535068027307652,2.0924104097865914,2973.484664468244,4382.178158124498,1.7187233397316235,0.75,745.7103659560444,420.29357021700156,298.3006728026243,59.53175974481633,9.762503872171285,14.83358015905262,750.4929559992114,-0.06022222301249379
18.38404510609403,20.713574371335294,2.1066709511315005,2972.60602478459,4308.192176683917,1.73840032987255,0.75,741.2391617326348,420.8005863088959,298.09824068469885,59.54623381433564,9.613157262712166,14.617056765471647,752.9893756446779,-0.06607458001393811
18.866198399531747,20.890729682354547,2.1206020045786023,2971.747765276479,4236.628551631195,1.7579283938600063,0.75,736.8766308391811,421.26600226006593,297.89491902964187,59.560221231983604,9.468318857373456,14.40771979662302,755.4437687140103,-0.07186435253110253
19.346574827414244,21.066533960365394,2.134216446256381,2970.9091412607618,4167.382599025039,1.7773075316939897,0.75,732.6191249190449,421.6920960632468,297.6908134838462,59.57374648231646,9.327810865673943,14.205237070286985,757.8574259968156,-0.07759276257182054
